MonitoringID,Year,Month,Day,rain_mm,Date_bomrainfall
BOM_087184,2020,8,8,6.4,8/08/2020
BOM_087184,2020,8,9,1.6,9/08/2020
BOM_087184,2020,8,10,0.2,10/08/2020
BOM_087184,2020,8,11,0.2,11/08/2020
BOM_087184,2020,8,12,1.4,12/08/2020
BOM_087184,2020,8,13,2,13/08/2020
BOM_087184,2020,8,14,0,14/08/2020
BOM_087184,2020,8,15,0.4,15/08/2020
BOM_087184,2020,8,16,0.2,16/08/2020
BOM_087184,2020,8,17,0,17/08/2020
BOM_087184,2020,8,18,0.2,18/08/2020
BOM_087184,2020,8,19,2.4,19/08/2020
BOM_087184,2020,8,20,0.6,20/08/2020
BOM_087184,2020,8,21,3.8,21/08/2020
BOM_087184,2020,8,22,2.2,22/08/2020
BOM_087184,2020,8,23,19.6,23/08/2020
BOM_087184,2020,8,24,1,24/08/2020
BOM_087184,2020,8,25,1.6,25/08/2020
BOM_087184,2020,8,26,0,26/08/2020
BOM_087184,2020,8,27,0,27/08/2020
BOM_087184,2020,8,28,2.2,28/08/2020
BOM_087184,2020,8,29,0.2,29/08/2020
BOM_087184,2020,8,30,0,30/08/2020
BOM_087184,2020,8,31,0,31/08/2020
BOM_087184,2020,9,1,0.4,1/09/2020
BOM_087184,2020,9,2,0,2/09/2020
BOM_087184,2020,9,3,0.8,3/09/2020
BOM_087184,2020,9,4,0.4,4/09/2020
BOM_087184,2020,9,5,1.4,5/09/2020
BOM_087184,2020,9,6,0,6/09/2020
BOM_087184,2020,9,7,0,7/09/2020
BOM_087184,2020,9,8,0,8/09/2020
BOM_087184,2020,9,9,0.4,9/09/2020
BOM_087184,2020,9,10,0,10/09/2020
BOM_087184,2020,9,11,0.2,11/09/2020
BOM_087184,2020,9,12,11.6,12/09/2020
BOM_087184,2020,9,13,35.4,13/09/2020
BOM_087184,2020,9,14,0,14/09/2020
BOM_087184,2020,9,15,0,15/09/2020
BOM_087184,2020,9,16,0,16/09/2020
BOM_087184,2020,9,17,5.8,17/09/2020
BOM_087184,2020,9,18,0.8,18/09/2020
BOM_087184,2020,9,19,0.2,19/09/2020
BOM_087184,2020,9,20,0,20/09/2020
BOM_087184,2020,9,21,5.6,21/09/2020
BOM_087184,2020,9,22,0,22/09/2020
BOM_087184,2020,9,23,1.4,23/09/2020
BOM_087184,2020,9,24,1.8,24/09/2020
BOM_087184,2020,9,25,1.4,25/09/2020
BOM_087184,2020,9,26,13.2,26/09/2020
BOM_087184,2020,9,27,1.8,27/09/2020
BOM_087184,2020,9,28,0.2,28/09/2020
BOM_087184,2020,9,29,0,29/09/2020
BOM_087184,2020,9,30,2,30/09/2020
BOM_087184,2020,10,1,11,1/10/2020
BOM_087184,2020,10,2,0.2,2/10/2020
BOM_087184,2020,10,3,0,3/10/2020
BOM_087184,2020,10,4,0,4/10/2020
BOM_087184,2020,10,5,12.8,5/10/2020
BOM_087184,2020,10,6,0.4,6/10/2020
BOM_087184,2020,10,7,2.6,7/10/2020
BOM_087184,2020,10,8,11.6,8/10/2020
BOM_087184,2020,10,9,8.8,9/10/2020
BOM_087184,2020,10,10,0,10/10/2020
BOM_087184,2020,10,11,0,11/10/2020
BOM_087184,2020,10,12,0,12/10/2020
BOM_087184,2020,10,13,0,13/10/2020
BOM_087184,2020,10,14,0,14/10/2020
BOM_087184,2020,10,15,0,15/10/2020
BOM_087184,2020,10,16,1.6,16/10/2020
BOM_087184,2020,10,17,8.8,17/10/2020
BOM_087184,2020,10,18,0.2,18/10/2020
BOM_087184,2020,10,19,0,19/10/2020
BOM_087184,2020,10,20,0.2,20/10/2020
BOM_087184,2020,10,21,0,21/10/2020
BOM_087184,2020,10,22,0,22/10/2020
BOM_087184,2020,10,23,0.2,23/10/2020
BOM_087184,2020,10,24,20.8,24/10/2020
BOM_087184,2020,10,25,0.4,25/10/2020
BOM_087184,2020,10,26,0.2,26/10/2020
BOM_087184,2020,10,27,0,27/10/2020
BOM_087184,2020,10,28,0,28/10/2020
BOM_087184,2020,10,29,0,29/10/2020
BOM_087184,2020,10,30,0.8,30/10/2020
BOM_087184,2020,10,31,0,31/10/2020
BOM_087184,2020,11,1,0,1/11/2020
BOM_087184,2020,11,2,0,2/11/2020
BOM_087184,2020,11,3,0,3/11/2020
BOM_087184,2020,11,4,0,4/11/2020
BOM_087184,2020,11,5,3.4,5/11/2020
BOM_087184,2020,11,6,0,6/11/2020
BOM_087184,2020,11,7,0.8,7/11/2020
BOM_087184,2020,11,8,0,8/11/2020
BOM_087184,2020,11,9,0,9/11/2020
BOM_087184,2020,11,10,0,10/11/2020
BOM_087184,2020,11,11,0,11/11/2020
BOM_087184,2020,11,12,12,12/11/2020
BOM_087184,2020,11,13,0,13/11/2020
BOM_087184,2020,11,14,2.2,14/11/2020
BOM_087184,2020,11,15,0.2,15/11/2020
BOM_087184,2020,11,16,0,16/11/2020
BOM_087184,2020,11,17,0,17/11/2020
BOM_087184,2020,11,18,0,18/11/2020
BOM_087184,2020,11,19,0,19/11/2020
BOM_087184,2020,11,20,0,20/11/2020
BOM_087184,2020,11,21,0,21/11/2020
BOM_087184,2020,11,22,0,22/11/2020
BOM_087184,2020,11,23,36.4,23/11/2020
BOM_087184,2020,11,24,0.2,24/11/2020
BOM_087184,2020,11,25,0,25/11/2020
BOM_087184,2020,11,26,0,26/11/2020
BOM_087184,2020,11,27,0,27/11/2020
BOM_087184,2020,11,28,0,28/11/2020
BOM_087184,2020,11,29,8.2,29/11/2020
BOM_087184,2020,11,30,0,30/11/2020
BOM_087184,2020,12,1,0,1/12/2020
BOM_087184,2020,12,2,0.6,2/12/2020
BOM_087184,2020,12,3,0,3/12/2020
BOM_087184,2020,12,4,0,4/12/2020
BOM_087184,2020,12,5,0,5/12/2020
BOM_087184,2020,12,6,2.4,6/12/2020
BOM_087184,2020,12,7,4,7/12/2020
BOM_087184,2020,12,8,0.2,8/12/2020
BOM_087184,2020,12,9,0.2,9/12/2020
BOM_087184,2020,12,10,0.4,10/12/2020
BOM_087184,2020,12,11,0,11/12/2020
BOM_087184,2020,12,12,0,12/12/2020
BOM_087184,2020,12,13,0,13/12/2020
BOM_087184,2020,12,14,0,14/12/2020
BOM_087184,2020,12,15,0,15/12/2020
BOM_087184,2020,12,16,0,16/12/2020
BOM_087184,2020,12,17,0.6,17/12/2020
BOM_087184,2020,12,18,1,18/12/2020
BOM_087184,2020,12,19,0,19/12/2020
BOM_087184,2020,12,20,0,20/12/2020
BOM_087184,2020,12,21,0,21/12/2020
BOM_087184,2020,12,22,22.2,22/12/2020
BOM_087184,2020,12,23,5.4,23/12/2020
BOM_087184,2020,12,24,0.2,24/12/2020
BOM_087184,2020,12,25,0,25/12/2020
BOM_087184,2020,12,26,0,26/12/2020
BOM_087184,2020,12,27,0,27/12/2020
BOM_087184,2020,12,28,1.4,28/12/2020
BOM_087184,2020,12,29,0,29/12/2020
BOM_087184,2020,12,30,0,30/12/2020
BOM_087184,2020,12,31,0,31/12/2020
BOM_087184,2021,1,1,0,1/01/2021
BOM_087184,2021,1,2,0,2/01/2021
BOM_087184,2021,1,3,19,3/01/2021
BOM_087184,2021,1,4,11.2,4/01/2021
BOM_087184,2021,1,5,9,5/01/2021
BOM_087184,2021,1,6,0,6/01/2021
BOM_087184,2021,1,7,0.2,7/01/2021
BOM_087184,2021,1,8,0,8/01/2021
BOM_087184,2021,1,9,0,9/01/2021
BOM_087184,2021,1,10,0,10/01/2021
BOM_087184,2021,1,11,0,11/01/2021
BOM_087184,2021,1,12,0,12/01/2021
BOM_087184,2021,1,13,0,13/01/2021
BOM_087184,2021,1,14,0,14/01/2021
BOM_087184,2021,1,15,0,15/01/2021
BOM_087184,2021,1,16,3.4,16/01/2021
BOM_087184,2021,1,17,0.2,17/01/2021
BOM_087184,2021,1,18,0,18/01/2021
BOM_087184,2021,1,19,0,19/01/2021
BOM_087184,2021,1,20,0,20/01/2021
BOM_087184,2021,1,21,0,21/01/2021
BOM_087184,2021,1,22,0,22/01/2021
BOM_087184,2021,1,23,0,23/01/2021
BOM_087184,2021,1,24,0,24/01/2021
BOM_087184,2021,1,25,0,25/01/2021
BOM_087184,2021,1,26,2,26/01/2021
BOM_087184,2021,1,27,0,27/01/2021
BOM_087184,2021,1,28,0,28/01/2021
BOM_087184,2021,1,29,20.2,29/01/2021
BOM_087184,2021,1,30,19.8,30/01/2021
BOM_087184,2021,1,31,0,31/01/2021
BOM_087184,2021,2,1,0,1/02/2021
BOM_087184,2021,2,2,0,2/02/2021
BOM_087184,2021,2,3,0,3/02/2021
BOM_087184,2021,2,4,0,4/02/2021
BOM_087184,2021,2,5,1.2,5/02/2021
BOM_087184,2021,2,6,0,6/02/2021
BOM_087184,2021,2,7,1.4,7/02/2021
BOM_087184,2021,2,8,0,8/02/2021
BOM_087184,2021,2,9,0,9/02/2021
BOM_087184,2021,2,10,0,10/02/2021
BOM_087184,2021,2,11,0,11/02/2021
BOM_087184,2021,2,12,2.6,12/02/2021
BOM_087184,2021,2,13,0,13/02/2021
BOM_087184,2021,2,14,0,14/02/2021
BOM_087184,2021,2,15,0,15/02/2021
BOM_087184,2021,2,16,0,16/02/2021
BOM_087184,2021,2,17,0,17/02/2021
BOM_087184,2021,2,18,0,18/02/2021
BOM_087184,2021,2,19,0,19/02/2021
BOM_087184,2021,2,20,0,20/02/2021
BOM_087184,2021,2,21,0,21/02/2021
BOM_087184,2021,2,22,0,22/02/2021
BOM_087184,2021,2,23,0.4,23/02/2021
BOM_087184,2021,2,24,0,24/02/2021
BOM_087184,2021,2,25,0,25/02/2021
BOM_087184,2021,2,26,0.2,26/02/2021
BOM_087184,2021,2,27,0.2,27/02/2021
BOM_087184,2021,2,28,0,28/02/2021
BOM_087184,2021,3,1,,1/03/2021
BOM_087184,2021,3,2,0.4,2/03/2021
BOM_087184,2021,3,3,0,3/03/2021
BOM_087184,2021,3,4,0,4/03/2021
BOM_087184,2021,3,5,0.8,5/03/2021
BOM_087184,2021,3,6,0,6/03/2021
BOM_087184,2021,3,7,0,7/03/2021
BOM_087184,2021,3,8,0,8/03/2021
BOM_087184,2021,3,9,1,9/03/2021
BOM_087184,2021,3,10,0,10/03/2021
BOM_087184,2021,3,11,0,11/03/2021
BOM_087184,2021,3,12,0,12/03/2021
BOM_087184,2021,3,13,0,13/03/2021
BOM_087184,2021,3,14,8.2,14/03/2021
BOM_087184,2021,3,15,0,15/03/2021
BOM_087184,2021,3,16,0,16/03/2021
BOM_087184,2021,3,17,0,17/03/2021
BOM_087184,2021,3,18,0,18/03/2021
BOM_087184,2021,3,19,0,19/03/2021
BOM_087184,2021,3,20,0,20/03/2021
BOM_087184,2021,3,21,0,21/03/2021
BOM_087184,2021,3,22,3.8,22/03/2021
BOM_087184,2021,3,23,9.2,23/03/2021
BOM_087184,2021,3,24,2.6,24/03/2021
BOM_087184,2021,3,25,1.6,25/03/2021
BOM_087184,2021,3,26,0.4,26/03/2021
BOM_087184,2021,3,27,0,27/03/2021
BOM_087184,2021,3,28,0,28/03/2021
BOM_087184,2021,3,29,0.4,29/03/2021
BOM_087184,2021,3,30,0.2,30/03/2021
BOM_087184,2021,3,31,0,31/03/2021
BOM_087184,2021,4,1,0,1/04/2021
BOM_087184,2021,4,2,0,2/04/2021
BOM_087184,2021,4,3,0,3/04/2021
BOM_087184,2021,4,4,0,4/04/2021
BOM_087184,2021,4,5,0,5/04/2021
BOM_087184,2021,4,6,0,6/04/2021
BOM_087184,2021,4,7,0,7/04/2021
BOM_087184,2021,4,8,0,8/04/2021
BOM_087184,2021,4,9,1.8,9/04/2021
BOM_087184,2021,4,10,0.2,10/04/2021
BOM_087184,2021,4,11,3,11/04/2021
BOM_087184,2021,4,12,6,12/04/2021
BOM_087184,2021,4,13,0.2,13/04/2021
BOM_087184,2021,4,14,0.4,14/04/2021
BOM_087184,2021,4,15,0.2,15/04/2021
BOM_087184,2021,4,16,0,16/04/2021
BOM_087184,2021,4,17,0,17/04/2021
BOM_087184,2021,4,18,0,18/04/2021
BOM_087184,2021,4,19,0,19/04/2021
BOM_087184,2021,4,20,0,20/04/2021
BOM_087184,2021,4,21,3,21/04/2021
BOM_087184,2021,4,22,0,22/04/2021
BOM_087184,2021,4,23,0.2,23/04/2021
BOM_087184,2021,4,24,0,24/04/2021
BOM_087184,2021,4,25,0.2,25/04/2021
BOM_087184,2021,4,26,0,26/04/2021
BOM_087184,2021,4,27,0.6,27/04/2021
BOM_087184,2021,4,28,0,28/04/2021
BOM_087184,2021,4,29,0,29/04/2021
BOM_087184,2021,4,30,0,30/04/2021
BOM_087184,2021,5,1,0,1/05/2021
BOM_087184,2021,5,2,0,2/05/2021
BOM_087184,2021,5,3,0.6,3/05/2021
BOM_087184,2021,5,4,31.4,4/05/2021
BOM_087184,2021,5,5,3.2,5/05/2021
BOM_087184,2021,5,6,0,6/05/2021
BOM_087184,2021,5,7,0,7/05/2021
BOM_087184,2021,5,8,0,8/05/2021
BOM_087184,2021,5,9,0,9/05/2021
BOM_087184,2021,5,10,0,10/05/2021
BOM_087184,2021,5,11,3.4,11/05/2021
BOM_087184,2021,5,12,0.6,12/05/2021
BOM_087184,2021,5,13,0.2,13/05/2021
BOM_087184,2021,5,14,1.4,14/05/2021
BOM_087184,2021,5,15,8,15/05/2021
BOM_087184,2021,5,16,1.2,16/05/2021
BOM_087184,2021,5,17,0.8,17/05/2021
BOM_087184,2021,5,18,0,18/05/2021
BOM_087184,2021,5,19,0,19/05/2021
BOM_087184,2021,5,20,0,20/05/2021
BOM_087184,2021,5,21,0,21/05/2021
BOM_087184,2021,5,22,0,22/05/2021
BOM_087184,2021,5,23,0,23/05/2021
BOM_087184,2021,5,24,0,24/05/2021
BOM_087184,2021,5,25,0,25/05/2021
